Issue_Key,Issue_Id,Fields_Summary,Fields_Priority_Name,Fields_Priority_Id,Fields_Assignee_AccountID,Fields_Project_Key,Fields_Project_Id,Fields_Created,Fields_Status_Name,Fields_Status_Category_Key,Fields_Issue_Type_Id,Fields_Issue_Type_Name,Fields_Reporter_AccountId,Fields_Updated,Fields_Duedate,Fields_Time_Estimate,Fields_Time_Original_Estimate
SD-257,10262,STEP Production Issue,3 - Routine,3,5cbfd25c3d24270e75a8fa93,SD,10000,23/10/2019,Closed,done,10001,Incident,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:900bc906-f194-4128-b886-1ac286ac20af,18:49.2,,,
SD-256,10261,RE: STEP Production Issue,3 - Routine,3,5cbfd25c3d24270e75a8fa93,SD,10000,23/10/2019,Closed,done,10001,Incident,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:7bb4509d-6a82-44af-a753-8e45e3a218e0,13:26.0,,,
SD-255,10260,FW: LICNT2BATCHD01 - Veeam Backup Failed,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,23/10/2019,Closed,done,10001,Incident,5cbfd25c3d24270e75a8fa93,51:29.3,,,
SD-254,10259,Config Mellanox switch (LICNEWMEL03),3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,22/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:07.4,,,
SD-253,10258,difference in times,3 - Routine,3,5a80c454d324b531c3d312a1,SD,10000,22/10/2019,Resolved,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:335238bb-65f6-475b-9f77-62d765043821,27:03.5,,,
SD-252,10257,Make necessary improvements to security during audit,3 - Routine,3,5cfd7b160ca4470c59b24077,SD,10000,21/10/2019,Resolved,done,10004,Change,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:b3e9b625-9dbb-4ee8-acb7-7f23bde4308d,32:22.2,,,
SD-251,10256,Add service connections to Azure DevOps for Profusion,3 - Routine,3,5cfd7b160ca4470c59b24077,SD,10000,21/10/2019,Closed,done,10004,Change,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:26fde1a3-5a11-4c99-85b5-c3c8e46edf85,41:23.3,,0,
SD-250,10255,Kubernetes container log rotation,3 - Routine,3,5ce772674401890dcab40be3,SD,10000,21/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:2e7cea04-d407-48cd-847c-1bf898102134,37:15.3,,,
SD-249,10254,Stop SAP ECD environment,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,18/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:11.7,,,
SD-248,10253,Move Synology NAS from WPD to Newstead (RRW),3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,18/10/2019,Done,done,10006,Task,5cca25b8ab0c3c0e37e26e80,39:11.5,,,
SD-247,10252,Start SAP ECD environment,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,18/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:11.7,,,
